#####137	traces-2016-04-07-18-32-28.dat.root	carbon
#####138	traces-2016-04-07-19-33-10.dat.root	carbon
#####139	traces-2016-04-07-20-34-56.dat.root	carbon
388     traces-2016-04-26-12-44-59.dat.root	deuterium
389     traces-2016-04-26-13-45-42.dat.root	deuterium
390     traces-2016-04-26-14-46-56.dat.root	deuterium
391     traces-2016-04-26-15-47-57.dat.root	deuterium
392     traces-2016-04-26-16-58-47.dat.root	deuterium
393     traces-2016-04-26-17-59-52.dat.root	deuterium
394     traces-2016-04-26-19-00-35.dat.root	deuterium
395     traces-2016-04-26-20-01-18.dat.root	deuterium
396     traces-2016-04-26-21-01-36.dat.root	deuterium
397	traces-2016-04-26-22-01-05.dat.root	deuterium
398	traces-2016-04-26-23-14-43.dat.root	deuterium
399	traces-2016-04-27-00-02-29.dat.root	deuterium
400	traces-2016-04-27-01-09-18.dat.root	deuterium
401	traces-2016-04-27-02-07-25.dat.root	deuterium
402	traces-2016-04-27-03-06-13.dat.root	deuterium
403	traces-2016-04-27-04-05-58.dat.root	deuterium
404	traces-2016-04-27-05-06-21.dat.root	deuterium
405	traces-2016-04-27-06-06-20.dat.root	deuterium
406	traces-2016-04-27-07-06-40.dat.root	deuterium
408	traces-2016-04-27-08-09-01.dat.root	deuterium
409	traces-2016-04-27-09-10-04.dat.root	deuterium
410	traces-2016-04-27-10-11-30.dat.root	deuterium
411	traces-2016-04-27-12-00-55.dat.root	empty
412	traces-2016-04-27-13-00-55.dat.root	empty
413	traces-2016-04-27-15-08-00.dat.root	empty
414	traces-2016-04-27-16-08-47.dat.root	empty
415	traces-2016-04-27-17-09-44.dat.root	empty
416	traces-2016-04-27-19-27-37.dat.root	empty
417	traces-2016-04-27-20-26-59.dat.root	empty
418	traces-2016-04-27-21-27-42.dat.root	empty
419	traces-2016-04-27-22-27-22.dat.root	empty
420	traces-2016-04-27-23-26-52.dat.root	empty
421	traces-2016-04-28-00-27-00.dat.root	empty
422	traces-2016-04-28-01-26-55.dat.root	empty
423	traces-2016-04-28-02-26-59.dat.root	empty
424	traces-2016-04-28-03-26-52.dat.root	empty
425	traces-2016-04-28-04-26-11.dat.root	empty
426	traces-2016-04-28-05-26-08.dat.root	empty
427	traces-2016-04-28-06-26-04.dat.root	empty
428	traces-2016-04-28-07-25-52.dat.root	empty
429	traces-2016-04-28-08-26-35.dat.root	empty
430	traces-2016-04-28-09-26-45.dat.root	empty
431	traces-2016-04-28-11-03-45.dat.root	empty
432	traces-2016-04-28-12-03-05.dat.root	empty
433	traces-2016-04-28-13-03-43.dat.root	empty
434	traces-2016-04-28-14-03-04.dat.root	empty
